galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
UGC05414,6,0.7290691842702187,2.9229120562473394,10.72906918427022,14.768736168742018,9.687866530410494,14.144014576426184,-4.039666984471799,-4.45614804601569,True,True,"7.23e+12,2.00"
UGC05716,12,5.414839477460952,2.4300329850652655,47.90387634222667,27.87029686558739,50.32840959116667,29.325016814951393,20.033579476639275,21.003392776215275,False,False,"9.20e+10,9.30"
UGC05721,23,0.7635687926133128,1.3438790530583447,23.74423826703963,32.87758106116689,29.42170934668538,36.28406370895434,-9.133342794127262,-6.862354362268963,True,True,"4.17e+10,30.00"
UGC05750,11,0.0956772303284814,1.9065902612968546,10.574063381970888,21.25272209037484,12.563539745962741,22.44640790876995,-10.678658708403951,-9.882868162807208,True,True,"7.17e+11,2.43"
UGC05764,10,4.107064494099786,8.58533273008767,30.535322470498933,66.09732911061369,32.04824793546916,67.00508438959582,-35.56200664011475,-34.95683645412666,True,True,"2.84e+10,17.75"
UGC05829,11,0.3428904118790163,0.7491378605551051,12.057342471274097,11.993102884440841,14.04681883526595,13.186788702835953,0.06423958683325637,0.8600301324299977,False,False,"2.98e+11,4.39"
UGC05918,8,0.0460196648824984,0.20537424788546796,10.138058994647496,7.02687123942734,10.535266703046675,7.265195864466847,3.111187755220156,3.2700708385798283,False,False,"3.36e+10,7.84"
UGC05986,15,2.02248523381507,10.58559006108449,30.2248523381507,133.0270807330139,33.76510334366175,135.1512313363205,-102.80222839486319,-101.38612799265876,True,True,"5.22e+11,11.16"
UGC06399,9,0.0519975502423845,1.3673939280679661,10.207990200969538,14.204363568407796,11.194113087650637,14.796037300416454,-3.9963733674382578,-3.6019242127658178,True,True,"2.45e+11,8.68"
UGC06446,17,0.3461791397937175,0.23801126080893287,14.154149677524611,9.33215765132506,18.32021639780569,11.83179768349371,4.821992026199551,6.488418714311981,False,False,"9.14e+10,14.43"
UGC06614,13,0.1261855182455682,1.7800611898801004,11.009484145964546,23.800611898801005,13.834230933272229,25.495459971185618,-12.79112775283646,-11.661229037913388,True,True,"7.42e+12,2.51"
UGC06628,7,0.0125241516073585,0.053595814605244395,10.025048303214717,6.214383258420978,9.754599048491283,6.052113705586917,3.8106650447937396,3.7024853429043656,False,False,"1.30e+10,10.42"
UGC06667,9,0.2128504552088932,1.9803480284045907,10.851401820835573,17.882088170427544,11.837524707516671,18.473761902436202,-7.030686349591971,-6.636237194919531,True,True,"4.22e+11,6.89"
UGC06786,45,2.4491273798694566,9.8481163582214,107.96509519477826,419.62088704529884,116.99840764362986,425.0408745146098,-311.6557918505206,-308.04246687098,True,True,"1.38e+12,16.28"
UGC06787,71,28.316385745080886,68.9859951180332,1878.8814591753385,4697.047668026257,1890.194858560545,4703.835707657381,-2818.166208850919,-2813.640849096836,True,True,"2.21e+12,11.57"
UGC06818,8,1.910222271011491,2.9868263738802074,15.730666813034473,20.934131869401035,16.127874521433654,21.172456494440546,-5.2034650563665625,-5.044581973006892,True,True,"3.95e+12,2.00"
UGC06917,11,0.2652055509084379,0.5878625578402695,11.591233305450627,10.702900462722155,13.58070966944248,11.89658628111727,0.888332842728472,1.6841233883252116,False,False,"3.37e+11,10.48"
UGC06923,6,1.7331515906979171,1.0162710558443147,11.733151590697917,9.048813167532945,10.691948936838191,8.424091575217108,2.684338423164972,2.2678573616210826,False,False,"3.45e+11,8.61"
