galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err
UGC00891,inf,5,0.3,inf,2.3416083561834897,inf,73.95236062876675,inf,4.4903886401596145,inf,0.005,inf
UGC01230,0.5271721427020405,11,0.6,0.0,6.3201606119213825,21.34970348032004,108.22128449117106,7.368396545282933,3.2306333384014705,0.5817323767339125,0.005,0.0
UGC01281,0.08351046484550878,25,0.3,0.0,3.4102513753686607,15.305505705395252,65.87163515554654,13.119773891466629,2.913141819546181,0.6849136384848319,0.005,0.0
UGC02023,inf,5,0.3,inf,0.5434713869263094,inf,107.88735964139192,inf,5.945886784862916,inf,0.005,inf
UGC02259,0.925836726073438,8,0.6,0.0,29.99998919615634,394.83281082823663,84.24192958222231,1.812479637188707,1.18537093526164,0.14039558303984503,0.005,0.0
UGC02455,3.425595541953499,8,0.3,0.0,29.999978700245226,6615.809677150687,59.42363965259155,66.41670200968322,3.0514606628106273,4.3768765661700275,0.005,0.0
UGC02487,8.736638475306332,17,1.9999999999999998,0.6463002147493793,13.199021373159184,3.5991873959882987,315.98875647697736,15.44857029296726,0.5000000000000001,50.89777314541346,0.09999999999999999,194.33075312201018
UGC02885,2.3503055891241442,19,1.9999999126721446,48.805521078168134,0.6817386295118723,1.5361787311362853,285.8063789960222,10.774341377286952,0.5000000004249646,7.452473479037129,1.0924010279066151e-05,154.0037925913572
UGC02916,2.4575377803271983,43,1.9999999999999998,4.696917938591856,0.5912339196875482,0.3262948476958075,213.2144781593825,1.784755573777868,0.5000000000000001,0.3807281690669063,0.03526251039620692,4.093963782355186
UGC02953,10.617201149312818,115,1.9999999999999998,0.12538349219509337,7.930415211716041,0.3995457949311946,262.16897083116356,2.954355605288098,0.500000000000002,0.04703133606777849,0.09999999999999999,10.683246170718446
UGC03205,1.2820663281928477,48,1.6196057387941905,0.2254951273141269,4.281806669226481,0.4793998476292588,211.34588051988962,1.4558234626367654,1.3914085594484944,0.17059432208554426,0.08284345485932332,3.0953648834838265
UGC03546,3.016321206270778,30,1.3175687078988243,0.9885905727980451,2.3367578432160707,0.574789849080719,199.27225145490848,4.074724405724884,0.5000000000000001,0.46194152430624874,0.09999999999999999,34.45058529385891
UGC03580,5.353273635595479,47,1.9999999999999998,0.2875080631077195,1.6833026324919276,1.0491879583152253,123.34811134924966,3.6194109971425465,4.4685826269192965,1.963923728039673,1.2994104167263858e-05,1.4628881059208139
UGC04278,1.50839831687921,25,0.6,0.0,29.99997932500268,514.7839814020464,97.18460610067903,8.2077298012967,4.221611553397333,0.6146907868672746,0.005,0.0
UGC04305,0.92800884283418,22,0.3,0.0,0.6581815034988141,1.7578432664647703,35.536387724203614,2.072837705242852,1.109494256768246,0.1779220945621274,0.005,0.0
UGC04325,0.7670730093703367,8,0.6,0.0,1.3389294564583603,5.7264789174763155,96.08321509704108,7.802496672470241,1.3781653251173565,0.187583967242163,0.005,0.0
UGC04483,0.41540775224186594,8,0.3,0.0,0.5000000075707838,3.36302902293864,24.981366720119752,15.384663188189352,0.5016865839190683,0.3173644965170811,0.005,0.0
UGC04499,0.15992180078071802,9,0.3,0.0,29.999999602074258,155.89109367030997,69.73042602857923,1.9981944464211643,2.2235909527352193,0.1549063432319571,0.005,0.0
UGC05005,0.09329593085066952,11,0.6,0.0,29.99999811926323,102.34297136435679,98.19509882941902,8.876563746074124,7.800208486715069,1.1391644220635602,0.005,0.0
UGC05253,7.17072707487213,73,1.9999999999998945,2.072861300251673,0.7967011787587905,0.3003994550468469,244.1901785496044,2.7387978955603116,0.5000000000001631,0.12803604529456591,0.09999999999999203,14.262213322611462
UGC05414,0.7290691842702187,6,0.3,0.0,0.5000000031286482,1.8183730973044272,69.85129521969913,3.7109872773889796,2.389323285648604,0.39682692662388924,0.005,0.0
UGC05716,5.414839477460952,12,0.3,0.0,29.999999502057467,150.64537738404655,68.88847004528526,2.713173133653843,2.504998112799518,0.3327906772967533,0.005,0.0
UGC05721,0.7635687926133128,23,0.6,0.0,1.9562197772533412,6.5281627421044295,79.71342898849338,5.132160047513759,0.6381725429931905,0.10062927669493875,0.005,0.0
UGC05750,0.09567723032848148,11,0.3,0.0,6.083470700679077,141.2249773693546,87.05941261263014,73.67297362826864,7.201265456536145,6.314197993566609,0.005,0.0
UGC05764,4.107064494099786,10,0.3,0.0,1.683040982887477,4.358459315655895,56.37693129712952,6.871214228035641,0.9969632385037049,0.2675306036651158,0.005,0.0
UGC05829,0.34289041187901637,11,0.3,0.0,29.999999989924536,367.28765716438386,59.300432950989716,5.948718317265882,2.8197629330966474,0.5422910957240541,0.005,0.0
UGC05918,0.04601966488249846,8,0.3,0.0,29.99999976019914,843.6005292224394,42.63868638648073,1.3451088862998202,1.3608491038592774,0.09939010014384114,0.005,0.0
UGC05986,2.02248523381507,15,0.6,0.0,4.051211486937847,24.619563411849608,122.62903304228251,11.834785181940555,2.6159336431030122,0.442582656128003,0.005,0.0
UGC05999,inf,5,0.6,inf,4.6522545007526945,inf,108.57293037994157,inf,7.141810441385394,inf,0.005,inf
UGC06399,0.051997550242384595,9,0.6,0.0,3.366021960603546,7.518446931052705,93.08016353707231,5.903764267606404,3.107487663109655,0.3108442578788063,0.005,0.0
UGC06446,0.3461791397937175,17,0.6,0.0,29.99999573078772,163.469487041731,77.12228956126617,1.6257155078434478,1.391291223199335,0.12555972604266846,0.005,0.0
UGC06614,0.12618551824556823,13,1.1416689625327032,0.16807873571207577,3.7932113954015083,1.6303811879338044,210.44068690351983,5.9965098869075115,11.811895436616963,4.430120330743803,0.09999999999977155,13.861116689671631
UGC06628,0.012524151607358569,7,0.3,0.0,0.5000000226400487,4.656023196995147,43.421302627959555,0.5245611497380154,1.3470040745558038,0.09820423558722213,0.005,0.0
UGC06667,0.21285045520889326,9,0.6,0.0,6.3566925874724465,19.348844506843868,90.06874473228203,6.166672568971306,3.028109606461312,0.3360037559442565,0.005,0.0
UGC06786,2.4491273798694566,45,1.9999999992784983,2.1685215473149695,0.6716457179416258,0.6294740358829556,226.05008239464283,0.9144519695611262,1.4084281907525624,0.1965509112547505,1.2979583786588541e-05,2.4138233498859276
UGC06787,28.316385745080886,71,0.3219652400689854,0.25047567751942085,4.156555809668827,2.7724699330257545,236.49461962358606,4.647783714474244,0.5000000000000001,0.19281455203585127,4.267205781665008e-08,9.448411138251101
UGC06818,1.910222271011491,8,0.3,0.0,5.831258817678373,299.37833821199365,96.15595132557014,157.37065935864936,5.7920026615873885,10.936435417438206,0.005,0.0
UGC06917,0.26520555090843795,11,0.6,0.0,29.999999670717017,196.0104200592609,106.63919639139796,2.200908430832676,2.701631305892625,0.1532895195853178,0.005,0.0
UGC06923,1.7331515906979171,6,0.6,0.0,2.326118351691853,41.094453280673484,86.68570785955508,71.1907781490893,2.1660363220863244,2.425593699533675,0.005,0.0
UGC06930,0.08313598894103326,10,0.6,0.0,17.079399242344017,14.530757987424392,103.99689852236264,1.8373723115022647,2.688178013728865,0.17934310789851407,0.005,0.0
